time,data,median,LB,UB
7,27,27,27,27
8,29,7,0,30
9,24,10,1,37
10,16,14,2,44
11,42,20,3,53
12,27,27,7,66.5
13,50,36,11,79
14,71,49,19,96.5
15,68,65,29,121
16,70,85,42,147
17,76,112,61,182
18,110,145,85,223.5
19,150,184,115,270
20,196,235,155,336
21,268,291,203,405
22,363,356,256,481
23,473,424,316,555
24,563,494,373,639
25,734,557,425,711.5
26,478,615,480,771
27,518,651,509,816
28,482,666,515,831.5
29,363,654.5,502,812
30,334,619,466,775
