time,data,median,LB,UB
7,27,27,27,27
8,29,4,0,39
9,24,6,0,43
10,16,9,0,48
11,42,13,0,59
12,27,18,1,68
13,50,25,2,79
14,71,33,5,99
15,68,44,10,113
16,70,58,16,134
17,76,76,26,161
18,110,99,39,194
19,150,131,60,241
20,196,172,87,294
21,268,223,125,359.5
22,363,287,169.5,447
23,473,375,236,559
24,563,486,322.5,689
25,734,634,440,876
26,478,814,584,1105
27,518,1059,783.5,1391
28,482,1372,1037,1784.5
29,363,1781,1356,2264.5
30,334,2294,1782,2914
