forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,143.174082112246,20498.8177886842,100,82.1471739130435
2,169.547257398831,29441.8168661626,50,101.090869565217
3,214.891949160603,50754.5282057811,33.3333333333333,142.102101449275
4,234.394425735649,59513.7703874291,25,160.34
