forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,205.037656592618,42040.4406209923,100,122.067826086957
2,318.31926717279,114159.879149059,50,215.981304347826
3,453.867477155829,251297.470142768,33.3333333333333,329.426304347826
4,755.203454346191,876718.708396458,25,600.880434782609
