forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,141.498008672324,20021.6864582332,100,82.9839130434783
2,167.276878025832,28646.1040272144,50,104.391630434783
3,212.662005410901,49787.7815243341,33.3333333333333,147.205579710145
4,232.800065504495,58834.4846261079,25,167.26527173913
