time,data,median,LB,UB
3,1,1,1,1
4,18,0,0,8
5,26,0,0,11
6,31,0,0,16
7,27,2,0,21
8,29,4,0,29
9,24,7,0,38
10,16,12,1,48
11,42,19.5,2,62
12,27,30,6,80.5
13,50,41,11,100
14,71,57,21,122
15,68,77,31,152
16,70,100,47,180
17,76,125,63,219
18,110,153,84.5,252
19,150,182,105,291
20,196,215,128,330
21,268,245,152,368
22,363,274,168.5,407
23,473,298.5,187,442
24,563,323,192,467
25,734,340,199,496.5
26,478,353,197,520
