time,data,median,LB,UB
7,27,27,27,27
8,29,10,0,49
9,24,15,1,60
10,16,23,2,75
11,42,31,5,91
12,27,43,10,111
13,50,57,16,131.5
14,71,74,26.5,156
15,68,95,38,186
16,70,120,53,221
17,76,147,74,258
18,110,178,94,293
19,150,213,119,347
20,196,250,150.5,391.5
21,268,294,181,444
22,363,340,214,500.5
23,473,390,258,560
24,563,441,294.5,631
25,734,495,334,692
26,478,550,376,771.5
27,518,607,424,834
28,482,669,452,912
29,363,726,484.5,986
30,334,786,516.5,1071
