forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,95.5869787109532,9136.87049908822,100,48.2891304347826
2,143.62905728301,22937.3474095299,100,80.634347826087
3,219.481697091571,61218.1554990663,66.6666666666667,144.373550724638
4,279.938018924546,99114.6500937693,50,195.761086956522
