time,data,median,LB,UB
3,1,1,1,1
4,18,0,0,9
5,26,0,0,13
6,31,1,0,19
7,27,3,0,25
8,29,6,0,33
9,24,10,0,42
10,16,16,1,56
11,42,25,4,68
12,27,35,9,88
13,50,47,15,106
14,71,63,24,129
15,68,81,35,154
16,70,102,49,184
17,76,124,64,211.5
18,110,149,83,244
19,150,177,103,276
20,196,205,124,315
21,268,235,143,356.5
22,363,263,159,401
23,473,293,173,450.5
24,563,322,183,509
25,734,345,188.5,568
26,478,372,194.5,638.5
