forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,180.383500976711,32538.207424615,0,120.813695652174
2,211.98004837283,45933.8827155026,0,145.720760869565
3,269.888525875307,80212.1611373596,0,198.31347826087
4,228.760016688751,62935.0665928235,25,162.651304347826
