time,data,median,LB,UB
11,42,42,42,42
12,27,16,3,44
13,50,24,6,57
14,71,34,12,74
15,68,50,21,94
16,70,70,34,121
17,76,97,53,155
18,110,134,81,203
19,150,180,117,257
20,196,239,163,331
21,268,306,223,408.5
22,363,380,282,489
23,473,451,344.5,574
24,563,512,396,646.5
25,734,550,432,687
26,478,554,433,689
27,518,529,411,664
28,482,475,364.5,606
29,363,404.5,301,528
30,334,330,235,445
31,275,259,176.5,366
32,201,199,130.5,297
33,220,151,91,235
34,182,113,62,186
