time,data,median,LB,UB
3,1,1,1,1
4,18,0,0,5
5,26,0,0,8
6,31,0,0,9
7,27,0,0,14
8,29,0,0,20
9,24,0,0,22
10,16,1,0,27
11,42,3,0,37
12,27,6,0,45
13,50,10,0,53
14,71,18,1,70.5
15,68,27,3,87
16,70,42,9,112
17,76,63,19,143
18,110,96,35,199
19,150,141,65,261
20,196,210,113,356.5
21,268,311,184,491
22,363,456,283.5,689
23,473,675,441,994
24,563,993.5,679.5,1396.5
25,734,1463,1025,2040.5
26,478,2136,1508,2995.5
