forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,224.445839169958,50375.9347207068,0,177.535217391304
2,260.273138123065,69025.7017787031,0,212.230652173913
3,323.918674608235,113880.546622443,0,274.136956521739
4,288.050513927727,93550.6025727012,0,237.113641304348
