time,data,median,LB,UB
3,1,1,1,1
4,18,0,0,14
5,26,1,0,23
6,31,4,0,29
7,27,8,0,39
8,29,13,1,51
9,24,19,2,62.5
10,16,28,5,76
11,42,37,9,92
12,27,47,15,108
13,50,60,22,126
14,71,74,32,147
15,68,90,41,166
16,70,107,52,189.5
17,76,125,65.5,212.5
18,110,145,79,239
19,150,165,94,266
20,196,184,109,295.5
21,268,205,118.5,318
22,363,227,134,346.5
23,473,246,146,379
24,563,262,153,403
25,734,280,162,427
26,478,295,164,448.5
