forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,548.829787989855,301214.136184989,0,434.821086956522
2,723.61284191285,554164.660919839,0,597.602826086956
3,957.31959445827,1046064.57559683,0,815.86268115942
4,1211.68049541788,1759470.85403438,0,1053.24092391304
