time,data,median,LB,UB
7,27,27,27,27
8,29,7,0,30
9,24,10,0,36.5
10,16,14,1,45
11,42,20,3,53
12,27,26,6,65
13,50,35,11,79
14,71,48,18,99
15,68,64,29,120
16,70,84,41,147
17,76,111,60,181
18,110,144,83,223
19,150,185,118,273.5
20,196,233,154,334
21,268,292,200,403.5
22,363,358,256.5,482.5
23,473,426,316,561.5
24,563,493,374,636
25,734,559,427,714
26,478,617,473.5,775
27,518,654,498,821.5
28,482,663,498.5,836
29,363,652,481,818.5
30,334,617,431,781.5
