forecasting_horizon,MAE,MSE,Coverage 95%PI,WIS
1,173.507596041495,30104.8858840985,0,120.644782608696
2,207.739092727687,44327.3260126992,0,152.840217391304
3,270.301867715993,81672.4982294804,0,213.293405797101
4,234.023285504427,65172.3536441753,25,178.529836956522
